title,text,subject,date,label
PRIVACY ALERT: YOUR VACUUM CLEANER IS SPYING ON YOU…No Consent Required to Share Your Data,"A fly on the wall? More like a spy on the floor of your home. It turns out that your dog isn t the only one who should be weary of your Roomba. This popular home cleaning device has been mapping homes using a camera and sensors since 2015 in order to maximize efficiency. However, they plan to sell this data to smart home device manufacturers such as Google, Amazon and Apple, the company said Tuesday.While it may seem like the information being gathered is minimal and harmless, there is a lot to be said for the maps each device is collecting. It knows the floor plan of your home, the basic shape of everything on your floor, what areas require the most maintenance, and how often you require cleaning cycles, along with many other data points.If this doesn t make you suspicious, it probably should. This is all part of the larger mission for major companies to glean every bit of data about you that they can. Now, they want to know all about your living space. iRobot CEO Colin Angle stated that user data won t be sold without permission and he thinks most people will want to take advantage of the greater functionality.In actuality, their terms of agreement allow the company enough freedom to share your data internally, with subsidiaries, third party vendors, and the government upon request. A section within their terms of agreement specifically states that they may  share your personal information with other parties in connection with any company transaction, such as a merger, sale of all or a portion of company assets or shares In summary, they do not need your consent if iRobot wanted to sell its user data in bulk. Unless you want the details about your home and family in the hands of third parties without your knowledge, think twice next time you are shopping for a new cleaning device.Read more: New York Post, Gizmodo",Government News,"Jul 26, 2017",1
 Trump Campaign Manager Gives SICKENING Interview On ‘Enormous Sacrifices’ Trump Made (VIDEO),"It wasn t too long ago that Republican nominee Donald Trump made us feel sick to our stomach when he told Gold Star parent Khizr Khan, the father of a Muslim soldier that was killed defending this country, that he had  made a lot of sacrifices. It was a disgusting claim, as few people have been as entitled as Trump   but his campaign is back at it again, trying to depict Trump as someone who has actually worked hard.On Thursday, Trump campaign manager Kellyanne Conway insisted that the reason people were voting for Trump was because they appreciated all of the sacrifices he made by running for the White House. In a completely delusional interview with CNN s Chris Cuomo, Conway said: Donald Trump is closing with a positive message. He s talking about his love for the country, his love for the people, what he s going to do to help them solve everyday problems. And Hillary Clinton, unfortunately, has gone lower and lower. They re going totally negative. Obviously, the Trump campaign is now ignoring the fact that its entire campaign strategy has been negative, hateful and divisive. Conway s next statement was even more ridiculous, because Trump has tanked horribly with female voters and shown that he has zero respect for them throughout his entire life. Female voters especially don t like that. They feel they deserve and should be respected to have a substantive conversation. Conway called Trump, who has scammed and insulted more people than we can count throughout his campaign,  incredibly gracious and really funny. And he s doing this for all the right reasons. I mean, I think people will look back at this campaign   particularly after he wins on Tuesday   and they ll say, we totally missed how much America just appreciated  how much America appreciated the fact that he and his family made enormous sacrifices to run for president. Really,  enormous sacrifices?  This statement is just as sickening as when Trump mentions that  small  loan of one million dollars that his father gave him as he whines about how hard his life has been as a wealthy white male. Trump and his family basically had riches handed to them, and they haven t used it to do good. Even Trump s charities have failed to give back as much as Trump says they have.Considering she d already made so many false statements, Conway decided to go for the gold when she trashed Clinton and the Democratic Party. She said: I mean, this is not the Democratic Party that you and I grew up in, Chris. It has gone so far to the left, I can t even reach my hand out and touch it. Cuomo deserves an award for keeping a straight face through this. You can watch Conway in action below:Featured image is a screenshot",News,"November 3, 2016",1
Anti-nuclear campaign group wins 2017 Nobel Peace Prize,"OSLO/GENEVA (Reuters) - A campaign group seeking a global ban on nuclear arms won the Nobel Peace Prize on Friday, given the award by a Nobel Committee that cited the spread of weapons to North Korea and said the risk was growing of nuclear war. The award to the International Campaign to Abolish Nuclear Weapons (ICAN) was unexpected, particularly in a year when the architects of the 2015 nuclear deal between world powers and Iran had been seen as favorites for achieving the sort of diplomatic breakthrough that has won the prize in the past. (Graphics on 'Nobel Laureates' - here) Supporters described the award as a potential breakthrough for a global movement that has fought to ban nuclear arms from the day the first atomic bomb was dropped on the Japanese city of Hiroshima in August 1945. ICAN s Executive Director Beatrice Fihn told Reuters the group was elated.  This. Is. Surreal.  she later tweeted. Asked if she had a message for North Korea s Kim Jong-Un, who has tested nuclear arms in defiance of global pressure, and President Donald Trump, who has threatened to  totally destroy  North Korea to protect the United States and its allies, Fihn said both leaders need to know that the weapons are illegal.  Nuclear weapons are illegal. Threatening to use nuclear weapons is illegal. Having nuclear weapons, possessing nuclear weapons, developing nuclear weapons, is illegal, and they need to stop,  she told Reuters.  Two days before her group won the prize, Fihn had tweeted that Trump was  a moron . She told Reuters she had written this in jest, in the context of news reports that U.S. Secretary of State Rex Tillerson had used the same word to describe his boss. But she said Trump s impulsive character illustrated the importance of banning nuclear arms for all countries.  A man you can bait with a tweet seems to be taking irrational decisions very quickly and not listening to expertise, it just puts a spotlight on what do nuclear weapons really mean. There are no right hands for the wrong weapons,  she said. ICAN describes itself as a coalition of grassroots non-government groups in more than 100 nations. It began in Australia and was officially launched in Vienna in 2007. In her speech announcing the prize, Berit Reiss-Andersen, the leader of the Norwegian Nobel Committee, said the risk that nuclear weapons might be used was now  greater than it has been for a long time .  Some states are modernizing their nuclear arsenals, and there is a real danger that more countries will try to procure nuclear weapons, as exemplified by North Korea.  The award was hailed by anti-nuclear campaigners around the world.  Now more than ever we need a world without nuclear weapons,  United Nations Secretary-General Antonio Guterres tweeted. Mikiso Iwasa, an 88-year-old Hiroshima survivor, told Reuters the prize would help push the movement forward.  It is wonderful we have this Nobel Peace-Prize winning movement. All of us need to join forces, think hard and walk forward together to turn this momentum into something even bigger,  he said. The prize seeks to bolster the case for disarmament amid nuclear tensions between Washington and Pyongyang, as well as uncertainty over the fate of the 2015 deal between Iran and major powers to limit Tehran s nuclear program. The prize-giving committee made no mention of Iran in its award citation. It raised eyebrows with its decision to award the prize to an international campaign group with a relatively low profile, rather than recognize the Iran deal, a complex agreement hammered out over years of high-stakes diplomacy.  Norwegian Nobel Committee has its own ways, but the nuclear agreement with Iran achieved something real and would have deserved a prize,  tweeted Carl Bildt, a former Swedish prime minister who has held top posts as an international diplomat. The Iran accord, which Trump has repeatedly called  the worst deal ever negotiated , is seen as under particular threat this week. A senior administration official said on Thursday Trump is expected to  decertify  the pact, a step which could allow Congress to restore sanctions on Iran. The committee may have been reluctant to reward the Iranian government for its role in the nuclear deal because the only Iranian winner so far, 2003 laureate Shirin Ebadi, a lawyer and human rights campaigner, is forced to live in exile.  I think the committee has thought about the human rights situation in Iran. It would have been difficult to explain the prize even though it has a favorable view of the Iran deal,  Asle Sveen, a historian of the Nobel Peace Prize, told Reuters.  The Norwegian Nobel Committee denied that giving the prize to an anti-nuclear group was intended either as a rebuke to Trump, or as a snub to the architects of the Iran nuclear deal.  The Iran treaty is a positive development, a disarmament development that is positive, but the reason we mentioned North Korea (in our statement) is a reference to the threat that people actually feel,  Reiss-Andersen told Reuters.  Iran has not voiced recent threats to use nuclear weapons.  ICAN has campaigned for a U.N. Treaty on the Prohibition of Nuclear Weapons, which was adopted by 122 nations in July this year. That agreement is not signed by   and would not apply to   any of the states that already have nuclear arms, which include the five U.N. Security Council permanent members, the United States, Russia, China, Britain and France, as well as India, Pakistan and North Korea. Israel is also widely assumed to have nuclear weapons, although it neither confirms nor denies it. Major allies of the declared nuclear powers also oppose the new treaty. Nevertheless, campaigners see it as a framework that would make it easier for countries that have nuclear arms to work toward eliminating them. NATO member Norway congratulated ICAN but said it would not sign the treaty to ban nuclear weapons. The Nobel Peace Prize is awarded by a committee appointed by the Norwegian parliament.  Norway will not support proposals in the UN that would weaken NATO s role as a defence alliance,  Prime Minister Erna Solberg said. Nuclear-armed nations, including the United States and Russia, back the U.N. s 1968 nuclear non-proliferation treaty which sets limits on the spread of atomic weapons and has a long-term goal of nuclear disarmament.  There is a strong logic in this peace prize,  said Dan Smith, director of the Stockholm International Peace Research Institute  It s all about encouraging governments to do what they have promised to do in the non-proliferation treaty.  ($1 = 8.1556 Swedish crowns) ",worldnews,"October 6, 2017 ",0
"SORE LOSER, WAR-HAWK John McCain Blames President Trump For Syrian Chemical Attack [VIDEO]","Sunday on CBS s  Face the Nation,  Sen. John McCain (R-AZ) said the administration of President Donald Trump was  probably was partially to blame,  for the deadly chemical weapons attack in Syria.McCain referred to Secretary of State Rex Tillerson comments in March that  the longer-term status  of Syrian President Bashar al-Assad will be decided by the Syrian people, McCain said,  I think it probably was partially to blame. And Secretary Tillerson is basically saying the same thing after kind of contradicting himself and then saying the same thing argues vigorously for a plan and a strategy. As I said, again, taking this action, I support and was important. But we have got to have a strategy and a plan to follow through.   Breitbart",politics,"Apr 10, 2017",1
North Korea dismisses report that sixth nuclear test killed many people,"Seoul (Reuters) - North Korea s state media on Thursday dismissed as  misinformation  a recent media report that the North s sixth nuclear test killed many people. Japanese broadcaster TV Asahi reported on Tuesday, citing unnamed sources familiar with the issue, that North Korea s nuclear test site collapsed after Pyongyang s sixth atomic test in September, possibly killing more than 200 people. The North s official KCNA said it was a  false report  intended to slander the country and its advances in nuclear development. ",worldnews,"November 2, 2017 ",0
France's Macron calls on Iraq to dismantle all militias,"PARIS/BAGHDAD (Reuters) - French President Emmanuel Macron on Saturday called on Iraq to dismantle all militias, including the government-sanctioned, Iran-backed Popular Mobilisation Forces (PMF), a rare public call to do so by a major Western leader. Macron s call, which followed a meeting with Iraqi Kurdish leaders in Paris, underscores the tough balancing act Baghdad has to perform between its allies in the war on Islamic State, Iran and Western powers, which do not see eye to eye.  It is essential that there is a gradual demilitarisation, in particular of the Popular Mobilisation that established itself in the last few years in Iraq, and that all militias be gradually dismantled,  he told a Paris news conference held with Iraqi Kurdish leaders. Kurdistan Regional Government (KRG) authorities accuse the majority Arab Shi ite PMF of widespread abuses against Kurds in Iraq s ethnically mixed regions. Iraqi Prime Minister Haider al-Abadi s government denies that the PMF are engaged in a systematic pattern of abuses and has pledged to punish anyone proven guilty of violations. Disarming the PMF is seen as Abadi s most difficult test as his forces edge closer to declaring victory over Islamic State. In Baghdad, Abadi s office released a statement later saying he had spoken to Macron by phone and that the French president had affirmed his country s commitment to a unified Iraq. It made no mention of Macron s call to dismantle the militias. Iraqi Vice President Nuri al-Maliki, a former prime minister who was pressured to leave office by both the U.S. and Iran for failing to stop Islamic State, was more forceful. Macron, he said, was carrying out  unacceptable interference  in Iraq s internal affairs.  These positions from France are absolutely rejected and harm Iraq s sovereignty and its institutions,  Maliki said in a statement. Macron s meeting with KRG Prime Minister Nechirvan Barzani and his deputy Qubad Talabani was the first high-profile international meeting for the Kurdish leadership after a Sept. 25 independence referendum. U.S. Secretary of State Rex Tillerson and British Prime Minister Theresa May have both made trips to Iraq after the referendum but only met officials in Baghdad and made no visits to the KRG capital Erbil. Western powers had encouraged the Kurds not to hold the referendum and instead engage in dialogue with Baghdad. Macron again called for dialogue between the central government in Baghdad and the semi-autonomous KRG within the framework of the Iraqi constitution, saying he was convinced a  constructive dialogue  could lead to lifting Baghdad s restrictions on the Kurdish region. Kurds voted to break away from Iraq in the referendum, defying the government in Baghdad and alarming neighboring Turkey and Iran who have their own Kurdish minorities. The Iraqi government responded by seizing the Kurdish-held city of Kirkuk and other territory disputed between the Kurds and the central government. Long-serving Kurdish president Masoud Barzani stepped down over the affair and the regional government led by his nephew Nechirvan has tried to negotiate an end to the confrontation. The Kurdish prime minister said on Saturday he saw France playing a role to end the dispute with Baghdad and that his government respected a verdict by the Iraqi Supreme Federal Court ruling the referendum unconstitutional and its results void.  With regards to the referendum, we are in a new era, and this issue is over and we have made our position in the Kurdistan Regional Government clear,  Erbil-based broadcaster Rudaw quoted Barzani as saying. Macron called for the long-delayed implementation of Article 140 of the Iraqi constitution to settle the status of territories disputed between Baghdad and the Kurds. Article 140 provided for a referendum to be held by the end of 2007 in the oil region of Kirkuk and other territories claimed by both the KRG and the Iraqi government to determine whether their populations wanted to be part of the Kurdish region or not. No such referendum took place, among the reasons cited by the KRG to unilaterally hold its referendum on independence.  ",worldnews,"December 2, 2017 ",0
STARVE YOUR CHILDREN OR ELSE: Punishment From Feds If Michelle Obama’s Food Plan Not Followed,"You ve probably seen the disgusting photos of the official school lunch that s now given to your children. It s pretty bad so we hope you make lunch for your kids. We could post example after example of the skimpy and unappetizing lunch that the new lunch program is forcing on kids.  Hunger-Free-Kids  is the name of the program but from all reports we ve heard the kids are starving and not getting enough food. so now the government is going to  punish  schools for not starving their kids? Liberal lunacy!The federal government is taking steps to fine schools that do not comply with first lady Michelle Obama s school lunch rules.The U.S. Department of Agriculture s Food and Nutrition Service issued a proposed rule Monday to codify parts of the Healthy, Hunger-Free Kids Act, which was championed by Mrs. Obama.The regulation would punish schools and state departments with fines for  egregious or persistent disregard  for the lunch rules that imposed sodium and calorie limits and banned white grains.A West Virginia preschool teacher was threatened with fines for violating the rules by rewarding her students with candy for good behavior in June 2015. The teacher ultimately did not have to pay, but the school had to develop a  corrective action plan  with training on the policies.The government now seeks to make fines enforceable by regulation. Section 303 of the law requires that the federal government  establish criteria for the imposition of fines  for all the Department of Agriculture s child food programs. Under section 303, the Secretary or a State agency may establish an assessment against any school food authority or school administering the Child Nutrition Programs if the Secretary or the State agency determines that the school or school food authority failed to correct severe mismanagement of any program, failed to correct repeated violations of program requirements, or disregarded a requirement of which they have been informed,  the proposed rule states.The government insisted that fines would be limited only to schools, school food authorities, and state agencies that have  failed to correct severe mismanagement of any program, disregarded a requirement of which it has been informed, or failed to correct repeated violations of program requirements. It is important to note that the statutory scheme only anticipates assessments be established in instances of severe mismanagement of a program, disregard of a program requirement of which the program operator had been informed, or failure to correct repeated violations [emphasis in original],  according to the proposed regulation.  These criteria suggest that violations that would result in assessments would be egregious or persistent in nature, remaining unresolved after the normal monitoring and oversight activities have failed to secure corrective action. Read more: WFB ",Government News,"Mar 29, 2016",1
South Korea to 'wait and see' after Trump threat to scrap free trade deal,"SEOUL (Reuters) - South Korea is adopting a “wait and see” stance, government officials said on Friday, after U.S. President Donald Trump told Reuters he would “renegotiate or terminate” a free trade pact between the two countries.  The won KRW= turned lower against the dollar soon after Trump's comments, trading down 0.2 percent at 1,132.5 to the dollar. South Korea's benchmark share index .KS11 fell, wiping out earlier gains, to stand down 0.03 percent at 2,208.73 points by 0207 GMT (10:07 p.m. ET).     “Talk and actual policy are different,” a high-ranking official at the finance ministry, who declined to be named, as he was not authorized to speak to the media, told Reuters. “They have not requested anything from us so we’ll have to wait and see.”     He reiterated comments by Finance Minister Yoo Il-ho the previous day that South Korea had not yet received any official requests on the renegotiation of the pact, which took effect in 2012. The deal was great for South Korea, but “terrible” for the United States, Trump told Reuters in the interview. A senior trade official also told Reuters the ministry would need to coordinate with Washington on the trade deal, but declined to elaborate further, as he needed time to look into the matter. South Korea’s automobile industry body expressed concern over the possible revision of the trade deal. Shares of Hyundai Motor (005380.KS) extended losses, and were down as much as 2.4 percent after Trump’s comments. ",politicsNews,"April 28, 2017 ",0
"THE SENATE CLAMPS DOWN ON “KING” OBAMA: No Hearing, No Vote On Scalia Replacement",The Senate is doing the right thing by not holding hearings to replace Supreme Court Justice Scalia: ,politics,"Feb 23, 2016",1
 Unhinged Trump Supporter Holds Children AT GUNPOINT Over Damaged Trump Sign (VIDEO),"If you had wanted to give Trump supporters the benefit of the doubt, this most recent incident proves that it s far too much to give them.A 56-year-old man in Allen Park, Michigan has just been charged with six felonies after he held six children at gunpoint because he thought they d damaged the Donald Trump sign on his lawn. Yes, this is the kind of deranged, emotionally unstable supporters Trump has attracted.The man, Michael Robert Kubek, had called police on October 29th to report that his Trump sign had been hit by teenagers, who had fled the scene. When the police arrived at the scene, they didn t find Kubek at his home   however, when the officers followed the screams coming from around the corner, there he was.The police saw Kubek standing over six children ages 12-14, who were sitting on the grass. Kubek accused the children of destroying his sign despite the fact that he never actually witnessed them doing it. The children denied any involvement, and the officers told Kubek to return to his house so they could speak to the children.According to the kids, they were simply on their way to the park for a birthday celebration when Kubek had pulled out a gun and pointed it at them, instructing them to sit down on the grass. Those witnessing the act took to social media to vent their shock:TwitterTwitterThe News-Herald reported: The officer asked him again if he could identify any of the kids as the one who damaged his sign, but Kubek repeated that he could not. The officer then asked Kubek if he pulled out a pistol and pointed it at the kids. According to police, Kubek said  yes. In response to another question from the officer, Kubek said he felt threatened because he was outnumbered. Yes, a grown man used a gun because he felt  outnumbered  by a small group of innocent kids. This is EXACTLY the type of unhinged person who shouldn t be trusted with firearms! Kubek s hearing is scheduled for December 5th   let s hope that whatever happens to Kubek, that he is no longer considered a responsible gun owner.You can watch a report below:Featured image via Allen Park Police Department and Joe Raedle / Getty Images",News,"November 4, 2016",1
CIA Report Released: Trump maintains DNC Leaks had “Absolutely no effect on outcome of election”,"21st Century Wire says Despite the mass media distraction of the improbably  Active Shooter  attack at Fort Lauderdale Airport earlier this afternoon   today was  the big day,  the dramatic release of the  unclassified  portion the US Intelligence report of the alleged Russian Hack  of the 2016 US Election. Meanwhile, at Trump Tower, President-Elect Donald Trump was given the full classified version of the report today, and was unimpressed, declaring that the alleged hacking of the Democrat National Committee (DNC) had  absolutely no effect on the outcome of the election. Note that it is still an  alleged  hack because US intelligence agencies Have yet to produce any actual evidence that the Russian government were involved in either the DNC Leaks or the Podesta Email dump on Wikileaks.Instead, the report s main thrust is accusing the Russians of running all of the so-called  fake news  articles that flooded Facebook and social media during the 2016 election cycle   claiming that it all traces back to St. Petersburg, Russia   despite earlier investigative reports published by both The Guardian and Buzzfeed which placed the fake news empire in Macedonia, where teenagers netted small fortunes by pumping out imaginary stories on hundreds of cut-out websites during the 2016 election.  Putin Aspired to Help Trump CNN and other US media outlets were quick to  down-shift  their headlines   away from saying that the Russian government  Hacked  the US Elections, now saying that  Putin Aspired to Help Trump. After a 90-minute briefing at Trump Tower with national intelligence chiefs,  Donald Trump, under pressure from his party and the US media, issued a statement seeming to acknowledge some hacking of  the cyber-infrastructure of our governmental institutions, businesses and organizations including the Democrat National Committee,  but was clear to ad the caveat that whatever happened had  absolutely no effect on the outcome of the election. While Russia, China, other countries, outside groups and people are consistently trying to break through the cyber-infrastructure of our governmental institutions, businesses and organizations including the Democrat National Committee, there was absolutely no effect on the outcome of the election including the fact that there was no tampering whatsoever with voting machines. There were attempts to hack the Republican National Committee, but the R.N.C. had strong hacking defenses and the hackers were unsuccessful. STAY TUNED FOR MORE UPDATESREAD MORE RUSSIAN HACK NEWS AT: 21WIRE Russian Hack FilesSUPPORT 21WIRE   SUBSCRIBE & BECOME A MEMBER@ 21WIRE.TV",Middle-east,"January 6, 2017",1
