title,text,subject,date,label
Lebanese army to deploy along entire eastern border: army chief,"BEIRUT (Reuters) - Lebanon s army will deploy along the country s entire eastern border with Syria and remain stationed there after recently recapturing areas from Islamic State militants, army chief General Joseph Aoun said on Friday. The remarks appeared to confirm comments by the Lebanese Shi ite group Hezbollah that it was handing over points it had controlled along the border to the military.  The army will deploy from now onwards along the extent of the eastern borders, to defend them,  Aoun said at a ceremony commemorating Lebanese soldiers killed by Islamic State. An army offensive last month ended with the militants withdrawing from their last foothold along the border under a ceasefire deal. The Syrian army and Hezbollah fought the jihadists separately on the Syrian side. Hezbollah leader Sayyed Hassan Nasrallah said in July it would be ready to hand over territory it captured if the Lebanese army requested it. Hezbollah led a campaign in the same area that month to oust the Nusra Front jihadist group from their last foothold along the border. Security sources said Hezbollah had begun handing over points it controlled. Iran-backed Hezbollah has played a critical role in vanquishing Sunni Muslim jihadists in the border region during the six-year-long Syrian war, part of its military support for Syrian President Bashar al-Assad. The group, an ally of Lebanese President Michel Aoun, was key to the defeat of militants in the Qalamoun area further south in 2015, and at the Syrian town of Qusair, in 2013. Lebanon s southern border with Israel, a Hezbollah foe, is patrolled by the United Nations Interim Force in Lebanon. ",worldnews,"September 8, 2017 ",0
IRAN HANGS “SPY” FOR THE U.S.: Did Hacked Hillary E-mails Expose Iranian Just Put To Death?,THIS $400 MILLION PAYMENT TO IRAN ISN T STARTING OFF TOO WELL Shahram Amiri Iranian nuclear scientist fed info to U.S .Hillary s emails exposed him: ,politics,"Aug 7, 2016",1
Portugal heading for another record year for tourist arrivals,"LISBON (Reuters) - The number of foreign tourists visiting Portugal jumped around 13 percent in January-July, putting the country firmly on track for another record year for tourism, which has been a key driver of its economic recovery since a 2011-14 debt crisis. The National Statistics Institute said on Thursday in its monthly data on the hotel sector that over 7.1 million foreign visitors stayed in Portuguese hotels through July, which helped drive total hotel revenues over 17 percent higher to 1.8 billion euros ($2.14 billion). Portugal s arrivals growth outpaced those in neighboring Spain, which chalked up a 11 percent rise in the same period, according to official Spanish data. Despite a deceleration in July from June levels, both the tourist arrivals and revenues so far this year maintained the pace of growth seen in 2016, when tourist arrivals exceeded 10 million for the first time.  August is traditionally the strongest month by far for holiday-making in Portugal, which lures foreign visitors with its beaches, historic sites and some of the lowest prices for wining and dining in western Europe. Pop star Madonna has this month become the most illustrious of a growing number of foreign residents in Portugal, which was also named Europe s top destination for expatriates in a survey by social network InterNations.   Hotel revenues and all travel-related revenues account for about 10 percent of Portugal s gross domestic product. The tourism sector is also a key source of employment. Tourism has been growing since 2011, helping the heavily indebted country overcome its economic and debt crisis. Economic growth this year is expected to accelerate to over 2 percent from 1.4 percent in 2016. Portugal has opened dozens of new hotels in the past year and private entrepreneurs have redeveloped hundreds of apartment buildings in old parts of Lisbon and other areas to rent to tourists, helping the country s flagging construction sector. ",worldnews,"September 14, 2017 ",0
 John Oliver Exposes The GOP’s Dirty Plan To Win The White House (VIDEO),"During a segment of Last Week Tonight, John Oliver discussed the issue of voter disenfranchisement. Republicans have everything to gain by making it harder to vote.One of the hot button issues of the day is Republicans  creation of laws that force people to have valid identification when they vote. The genius behind the plan is that it seems so innocent to require people to show identification in order to vote. However, it has been shown that it can be far harder to have all the valid identification that some states are now requiring than one might think. Oliver notes how hard it can be just to get an ID due to the times that ID-issuing offices are closed: And in some parts of the country, the offices that issue IDs are hardly ever open. In 2012, a study found that in Wisconsin, Alabama and Mississippi, fewer than half of all ID-issuing offices in the state are open five days a week. And in Sauk City, Wisconsin the ID office is only open on the fifth Wednesday of every month   and only four months in 2016 even have five Wednesdays,  Oliver says.Those Republicans wish to see vote the least are minority voters, who traditionally back Democratic candidates. That s why during the segment, John Oliver points out how much these anti-democratic schemes disproportionately hurt Black and Latino voters. Studies have shown these restrictions tend to disproportionately impact African-American and Latino voters. In Texas, for instance, experts found that African-American voters were nearly twice as likely to lack voter ID, and Latinos were nearly two and a half times as likely. It s just one of those things that white people seem to be more likely to have, like a sunburn or an Oscar nomination,  says Oliver.The Republican Party is dying due to demographic and ideological changes. Instead of changing their Party s platform, they would rather sink to these pathetic voter disenfranchisement schemes.You can watch the segment below.Featured image from video screenshot",News,"February 20, 2016",1
 WATCH: Tamron Hall Tears Top Trump Adviser Apart Piece By Piece,"One of Donald Trump s top advisers repeatedly tried to change the subject during an interview on MSNBC on Monday but Tamron Hall was having none of it.From the Republican nominee s refusal to release his taxes to his illegal donation to Pam Bondi to his immigration policy, Hall grilled A.J. Delgado until she was burned to a crisp.Delgado bragged about 88 retired military veterans endorsing her boss and claimed that it s because Trump is constantly fundraising and donating money to veteran s organizations. Delgado also claimed that Hillary Clinton doesn t have a record of helping veterans.As usual, Trump is slandering Hillary Clinton by lying about what she has done.According to Correct The Record, Hillary Clinton worked tirelessly in the Senate to pass legislation aimed at helping veterans.She introduced the Heroes At Home Act of 2006 and 2007 to help  families care for veterans with traumatic brain injuries or post-traumatic stress disorder. She fought to  increase the survivor benefits for military families from $12,000 to $100,000. In addition, she helped author a new G.I. Bill of Rights and fought to expand retirement and disability as well as family medical leave for veterans as well.Hall pointed out that Trump, on the other hand, hasn t really proved that he donates a lot to veteran s groups because he refuses to release his tax returns.Delgado once again dragged out the tired old excuse that Trump can t release his taxes because he is being audited, but Hall immediately called bullshit. Yes, you can,  Hall said.  There s nothing that prevents you. Delgado, who is supposed a lawyer, argued with Hall by repeatedly saying that he can t until she finally conceded that legally he can release his taxes. But then she tried to make the discussion about Hillary Clinton s health. Why is it you want them released?  Delgado asked.  I think the bigger issue is Hillary Clinton s medical records. Unperturbed, Hall made it clear why American voters have the right to see his taxes. We don t know where he s invested his money. There was a New York Times report about ties to Chinese banks, potential investments in Russia. We need to know more about this presidential candidate. Why not release that information? Frankly, it s time for the IRS to speed up and finish their damn audit so that Trump can no longer use it as an excuse.Hall moved on to slamming Trump for whining about Hillary s ties to foreign leaders and claiming that she ran a  pay-to-play  as Secretary of State. But Hall pointed out that Trump is involved in a real pay-to-play  scandal right now because Florida Attorney General Pam Bondi dropped an investigation into Trump University shortly before Trump donated to her campaign. It sounds like a situation of pay-for-play,  Hall said, prompting yet more whining from Delgado and yet another attempt to pivot to Hillary Clinton. Pam Bondi asked for that donation before she even knew that some complaints had come into her office, hundreds of complaints,  Delgado said, which brings up another question. Why would Bondi kill an investigation even though there were complaints flowing into her office against Trump University? It definitely sounds like Bondi was paid off to drop it.Hall pointed out that if Hillary had donated to Bondi and had a case against her magically dropped that Trump would lose his shit over it. He would say that there s no way Hillary Clinton had this conversation and that this lawsuit did not come up,  Hall said.  Remember all the suspicions regarding [Attorney General Loretta Lynch] and Bill Clinton on the plane? Donald Trump would not accept that as answer. Delgado then tried to portray the IRS fine against Trump for his $25,000 donation as resulting from a  clerical error.  Hall knew that Delgado would keep trying to pivot back to attacking Hillary Clinton and she quickly shut her down. I fully realize that you ve come locked and loaded but what we re going to do is we re going to talk about what your candidate is now saying on the campaign trail 62 days out,  Hall said before playing a clip of Trump flip-flopping on his immigration message.Once again, Delgado was reduced to desperately trying to pivot to Hillary Clinton instead of answering for her boss  clear flip-flop.Here s the video via YouTube.And once again, Tamron Hall proves that she will not take any bullshit from Trump s campaign.Featured image via screenshot",News,"September 6, 2016",1
NASTY WOMEN! Ivanka Trump BOOED…HISSED By Unbelievably Rude Crowd During Panel Discussion On Women In Germany [VIDEO],"She s no stranger to nasty women in America who can t seem to get past their hate for her father to see that Ivanka Trump is a passionate advocate for women and a strong role model for working women raising a family. Ivanka is an incredibly hard working woman who is very accomplished. She s everything the so-called  feminist movement  should be celebrating, but since her father has taken a pro-life position, all bets are off the table. And unlike children of every previous President and First Lady, the Trump children have been the targets of one vicious attack after another. From the boycotting of Ivanka s clothing and accessory line to Rosie O Donnell accusing young 11-yr old Barron Trump of being autistic to the skanky comedian Chelsea Handler who after finding out that Eric Trump and his wife were expecting their first child tweeted,  Just what we need. Another person with those jeans [sic]. Ivanka Trump on Tuesday faced boos and hisses during a panel discussion at the W20 Summit in Berlin Tuesday morning after she defended her father s record of promoting women in his business before becoming president.The president s daughter was speaking on a panel that included German Chancellor Angela Merkel when she remarked that President Trump is  a tremendous champion  for women and families. That remark drew boos and hisses from the crowd at the panel.She later defended her father, citing media criticism but also clearly responding to people in the room. ",left-news,"Apr 25, 2017",1
"Seeking to regain ground, Trump calls Clinton corrupt and a liar","NEW YORK (Reuters) - Republican presidential hopeful Donald Trump staged a harsh attack on his Democratic rival Hillary Clinton on Wednesday, accusing her of corruption and dangerous incompetence as he tried to put his campaign back on track after recent setbacks. In a speech in New York that Clinton’s campaign called “nutty” and that was criticized by some Republicans, Trump argued that the former secretary of state is part of a political establishment that has cheated American workers through bad trade deals and endangered U.S. national security. Both candidates are seeking to overcome their high unfavorable ratings among voters at the Nov. 8 election by painting the other as a villain who puts personal gain over the interests of less powerful Americans.  Even by the standards of modern presidential races, the sparring between Clinton, a former secretary of state and U.S. senator, and brash businessman Trump has made for unusually acidic rhetoric. “Hillary Clinton may be the most corrupt person ever to seek the presidency of the United States,” Trump told a small crowd of supporters at a hotel he owns in Manhattan, accusing her of having run the State Department “like her own personal hedge fund.”  Clinton’s staff quickly dismissed that attack and others as “lies.” Trump read his speech from a teleprompter to curb his off-the-cuff comments but he pulled no punches. He said Clinton “has perfected the politics of personal profit and theft” and described her as “a world-class liar.” Republican Lindsey Graham, a U.S. senator from South Carolina who has so far declined to support Trump, said he disagreed that Clinton may be the most corrupt person to have run for the White House, and challenged Trump to become more presidential. “My advice to Mr. Trump would be to make the case that you have the temperament, knowledge and judgment to be president,” he said on CNN. “That’s the mountain you’ve got to climb.” Trump’s campaign has been distracted in recent weeks by racially-charged comments he made about a Mexican-American judge and the Republican’s firing of campaign manager Corey Lewandowski this week.     The New York real estate mogul is trailing Clinton in most opinion polls, and campaign finance figures released on Monday show he has raised only a fraction of the amount Clinton has brought in, although Trump has said he is willing to loan his campaign more money.     In his speech, Trump repeated accusations that Clinton’s decisions as America’s top diplomat were influenced by donations to the Clinton Foundation and associated charities.  Clinton and her staff have denied this and similar allegations, dismissing them as politically motivated smears. “The only thing Donald Trump offered today was more hypocritical lies and nutty conspiracy theories,” Clinton spokesman Glen Caplin said. The State Department has said it is not aware of any evidence of improper influence, although it has acknowledged that new donations from foreign governments should have been submitted to the department’s ethics advisers for prior review but were not, in breach of an ethics agreement Clinton signed before taking office. Trump attacked the Clinton Foundation for accepting millions of dollars from Saudi Arabia and other countries criticized by the United States for not protecting the rights of women and gay people. Clinton’s husband, former President Bill Clinton, has said that accepting such funding is not an endorsement of everything a foreign government does. Clinton added a pointed defense of the Clinton Foundation in a speech later on Wednesday. “The Clinton Foundation helps poor people around the world get access to lifesaving AIDS medicine,” she told cheering supporters in Raleigh, North Carolina. “Donald Trump uses poor people around the world to produce his line of suits and ties.” Trump also said Clinton had used bad political judgment in her four years as secretary of state, failing to stop the rise of Islamic State, keep strong sanctions on Iran or avoid chaos in Libya. “Her decisions spread death, destruction and terrorism everywhere she touched,” Trump said.          On Tuesday, Clinton delivered her own blistering attack on Trump, saying that putting him in the White House would be a disaster for the U.S. economy.  On Wednesday, Clinton won the endorsement of former U.S. National Security Adviser Brent Scowcroft, a Republican who served under Presidents Gerald Ford and George H.W. Bush. A Reuters/Ipsos poll this week showed that 44.5 percent of likely voters backed Clinton, while 35.5 percent supported Trump. Some of the accusations made by Trump on Wednesday appeared to contradict the public record. He said Clinton would admit hundreds of thousands of refugees to the United States without any prior screening. But under the current process, refugees must wait months or years in foreign camps while U.S. security agencies review their backgrounds, a system Clinton supports. Trump said Clinton was sleeping “soundly” in her bed as a deadly attack unfolded in Benghazi, Libya, in 2012 in which four Americans were killed. State Department records show Clinton was in her State Department office when news of the opening assaults came through. She has said she later worked through the night on the U.S. response.             ",politicsNews,"June 22, 2016 ",0
" In Shocking Interview, Donald Trump Admitted That Killing Political Enemies Is No Big Deal (VIDEO)","It s tough these days to keep track of exactly how many shadow governments are propping up Donald Trump. Steve Bannon is the de facto President. Mike Pence is reportedly the puppet master behind all the LGBT hate and anti-abortion positions. But let s not forget that the ultimate Trump puppet master isn t even an American, it s Russian President Vladimir Putin and on an edition of The O Reilly Factor that will appear on Super Bowl Sunday, Trump refused to say anything bad about Putin at all.Bill O Reilly is rarely the voice of reason, but this is a time of such absurdity that even Glenn Beck is warning us of the insanity of Trump. Still, compared to Trump, O Reilly is downright sane. Even he recognized the dangers of having Putin s hand up the you know what of the person who s supposed to be the leader of the Western World.In the interview, Trump was asked about Putin. He s still trying to claim that he never met the Russian leader, despite that being widely debunked. He once said that he met with Putin in Russia and the man  could not have been nicer.  When O Reilly talked about Putin, though, Trump played dumb: I do respect him, I respect a lot of people,  Trump says in a clip of the interview released Saturday.  That doesn t mean I m going to get along with him. Trump goes on to say that if Russia aids the U.S. in the fight against ISIS,  then that s a good thing. Source: Hollywood ReporterWhen asked about the fact that Putin is a killer, Trump merely shrugged it off and said that the United States isn t so innocent.O Reilly, host of Factor, retorts with about Putin,  he s a killer, though. Putin s a killer. There are a lot of killers. We got a lot of killers,  Trump says.  What, you think our country is so innocent? Here s the video:It s becoming increasingly more clear every day that Donald Trump absolutely loathes the United States. No, our country is certainly not innocent, but we don t have recent evidence of any of our presidents poisoning those who disagree with him. (The worst similar thing, that we know of, is the outing of a CIA agent who disagreed with Dick Cheney and the weapons of mass destruction claim). It s definitely not too early to rule that possibility out when it comes to Trump, though. The way he lashes out at anyone who dares say anything against him is straight from the playbook of a third rate dictator and Trump s puppet master Putin is far from just third rate. Watch for Trump to be following in Putin s footsteps and with tacit approval of killing political enemies, it s apparent that nothing is off limits for this new administration. Be afraid. Be very afraid.Featured image via video screen capture",News,"February 4, 2017",1
 Trump’s Approval Rating TANKS To The Lowest Level Of Any President’s First 60 Days,"Since taking the oath of office, alleged president Donald Trump s approval rating is at a new low, hitting 37%, according to Gallup. Trump s disapproval rating is at jaw-dropping 58 percent. As for his approval rating, the polling company may need to start a new graph because it looks like its bottom line is 35 percent.This is the lowest approval rating of any president s first 60 days as tracked by Gallup.Trump approval drops to 37%   the worst Gallup poll any president has ever had this early in their term. pic.twitter.com/399k8tLFmx  Steven Dennis (@StevenTDennis) March 19, 2017Gallup- Job *disapproval* upon hitting 60 days in office:Carter 9Reagan 24HW Bush 16Clinton 34W Bush 29Obama 26Trump  58  Josh Jordan (@NumbersMuncher) March 19, 2017Gallup- Job approval upon hitting 60 days in office:Carter 75Reagan 60HW Bush 56Clinton 53W Bush 58Obama 63Trump  37  Josh Jordan (@NumbersMuncher) March 19, 2017Trump is 9 points away from hitting absolute bottom of approval ratings. (There are 28% on both sides that are always unmovable) In 60 days!  Kurt Eichenwald (@kurteichenwald) March 19, 2017It s not just Gallup. According to a new Quinnipiac University poll released earlier this month, 51% of voters are against efforts to repeal Obamacare.That poll highlights the scandals plaguing Trump and his administration. 52 percent say that Trump s Attorney General Jeff Sessions lied under oath during his confirmation hearings and 51 percent say that Sessions should resign.54 percent of voters disapprove of the way Trump is handling U.S. policy towards Russia, according to Quinnipiac.American voters support 66   30 percent an  independent commission investigating potential links between some of Donald Trump s campaign advisors and the Russian government.  The only listed party, gender, age or racial group opposed is Republicans, opposed 64   30 percent.A total of 61 percent are  very concerned  or  somewhat concerned  about President Trump s relationship with Russia. A total of 62 percent of voters say alleged Russian interference in the 2016 election is a  very important  or  somewhat important  issue.Trump s scandals after just starting the job include his growing list of conflicts of interest. The alleged president s  swamp  now has a Russian accent, with some in his administration revealed to have ties to the hostile foreign government. And that  some  may include Trump himself. On top of that, Trump has been pushing for a travel ban, while initially seeking to stop travelers from seven predominantly Muslim countries from entering the U.S. That executive order was so chaotic that travelers were still in mid-flight when he signed it, then detained at airports. His second attempt to ban Muslims failed in court after he watered it down to forbidding travelers from six countries from entering the U.S. And now Trump is pushing through a health care plan which gifts the rich with tax breaks and hits the elderly hard with pricier coverage. Trump s first meeting with German Chancellor Angela Merkel was so awkward that it was obvious he cannot sit in a room with actual world leaders without embarrassing the rest of us.Meanwhile, Trump is on another vacay at his Mar-a-Lago resort while trying to take away healthcare from 24 million Americans.Photo by Tom Pennington/Getty Images",News,"March 19, 2017",1
 Alec Baldwin And Melissa McCarthy Probably Just Put The Final Nail In Sean Spicer’s Coffin (VIDEO),"Everyone knows that Donald Trump absolutely HATES Melissa McCarthy s portrayal of White House Press Secretary Sean Spicer. Well, this week s edition of SNL certainly will not please The Donald, because McCarthy s  Spicey  came back with a vengeance.The segment opened with Aidy Bryant doing an absolutely PERFECT impression of Sarah Huckabee Sanders, the Deputy Press Secretary and daughter of former Arkansas Governor Mike Huckabee, filling in for Spicer as she has been doing all week since Trump fired FBI Director James Comey and sent Washington reeling once again. Huckabee Sanders  points out that she is doing  Spicer s  job because he is on Naval Reserve duty. However, in this episode, he is outside in the bushes, just as the real Sean Spicer did in a pathetic attempt to hide from reporters after the Comey news broke. Bryant s Huckabee Sanders insisted that this was part of a Naval Reserve exercise, though.Then, a couple of members of the White House Press Corps asked if  Huckabee Sanders  could replace  Spicer  permanently. Before she could answer,  Spicer  bursts in with a fire extinguisher and blasts a reporter s pants with it, insinuating that he was lying by pointing out all of  Spicer s  flaws.A reliably contentious press conference followed, focusing on the fallout from the Comey situation, just as press briefings have all week in real time. After Spicer finally ends the briefing abruptly, he rides to New York City to find Alec Baldwin s Trump. Of course,  Trump  is not at Trump Tower, so he then continues on to one of Trump s golf properties, where he asks Trump if he is about to be replaced by his Deputy Press Secretary. Trump  assures Spicey that he is safe, and then gives him a dramatic kiss   the kiss of death.The real Donald Trump is going to be absolutely furious with this. Further, rabidly homophobic Mike Pence will insist that Spicer has to go now that SNL has taken to mocking him and Trump with same-sex kisses.This will definitely fall under the heading   in Trump s mind, of course   of making his employee look weak.I d be willing to bet we ve seen just about the last of the real life Spicey. That isn t so bad, though I will miss Melissa McCarthy s version.Watch the hilarious segment below:Featured image via video screen capture",News,"May 14, 2017",1
